place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.233807254585242,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.155795422827639,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.98509805446809,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather: Part II,8.98386962382605,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.947337809482658,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.935094668950807,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.920740022489651,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.850900043441882,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.803405488491403,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.793881570281913,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.76721645601354,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.750234079677616,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.732887982123787,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.727577244062848,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.70176010075839,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.671116383973743,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.651280840738016,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.64139533714702,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.60389417048204,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599224307413667,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596981634324576,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.587998367462582,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.578963349111989,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.577535411132475,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566060405342311,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.559628788970988,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.55483575513749,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.554486296783107,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.534939031464944,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517969161450774,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515381893317013,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.50873249824614,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.50449898544185,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.500950744062882,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.495539253807179,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.488466547935333,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.485247155112784,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.484759585480596,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Usual Suspects,8.476721330206313,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,The Departed,8.474964953344136,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,The Prestige,8.467917084900462,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.46571707500824,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Whiplash,8.459725087493265,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
44,The Intouchables,8.454115561221561,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,Modern Times,8.449986112262314,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
46,Seppuku,8.448797149459166,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
47,Once Upon a Time in the West,8.448095334792491,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
48,Hotaru no haka,8.447202097855678,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
49,Top Gun: Maverick,8.439909861723942,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
50,Rear Window,8.437511056426892,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.435530699493409,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.43439848390286,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Nuovo Cinema Paradiso,8.42898797422411,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
54,Memento,8.42626949587538,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Apocalypse Now,8.425379626034784,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
56,Raiders of the Lost Ark,8.411905620636356,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,Django Unchained,8.402381462444035,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
58,WALL·E,8.392479648048337,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
59,The Lives of Others,8.38656476843024,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
60,Sunset Blvd,8.383026299536338,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
61,Paths of Glory,8.37072436899954,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
62,The Shining,8.36803318207068,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
63,The Great Dictator,8.366549156063877,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
64,Witness for the Prosecution,8.356756169073183,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Avengers: Infinity War,8.354935002599872,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
66,Aliens,8.344594063433032,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
67,American Beauty,8.338442726849552,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.334068064865209,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.328851912225918,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Spider-Man: Into the Spider-Verse,8.327860507941695,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
71,Joker,8.320264653655613,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,Oldeuboi,8.319909624706625,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae"
73,Braveheart,8.315624060290496,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
74,Amadeus,8.315435873165141,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
75,Toy Story,8.314348739104192,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
76,Coco,8.312174874600037,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
77,Das Boot,8.311735470296542,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Inglourious Basterds,8.310488302179564,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
79,Mononoke-hime,8.303859042451375,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Once Upon a Time in America,8.30114875311338,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
81,Avengers: Endgame,8.300691550350502,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
82,Good Will Hunting,8.286332952482953,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Requiem for a Dream,8.277282022193786,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
84,Toy Story 3,8.276836452702558,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
85,Singin' in the Rain,8.274046219200237,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
86,Kimi no na wa,8.27396415787898,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
87,3 Idiots,8.268492204513137,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Star Wars: Episode VI - Return of the Jedi,8.268298883913713,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,2001: A Space Odyssey,8.265947283375066,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,Reservoir Dogs,8.264992607839199,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
91,Eternal Sunshine of the Spotless Mind,8.264839417780527,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Tengoku to jigoku,8.262635811084753,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
93,Citizen Kane,8.258374860930184,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
94,Capharnaüm,8.257889031751132,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
95,Lawrence of Arabia,8.256662047887978,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
96,Jagten,8.255023586440032,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
97,M - Eine Stadt sucht einen Mörder,8.25450208307209,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
98,North by Northwest,8.254132131256846,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
99,Everything Everywhere All at Once,8.249292918784683,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
10, Vertigo,8.248246523442788,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
101,Le fabuleux destin d'Amélie Poulain,8.246885127784237,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,A Clockwork Orange,8.245160628193313,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,Idi i smotri,8.243082783259565,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
104,Full Metal Jacket,8.24034730423654,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,Double Indemnity,8.238236477179298,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
106,The Apartment,8.237209070755746,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
107,Scarface,8.235086107170995,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
108,Ikiru,8.229501339323784,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
109,To Kill a Mockingbird,8.229178555813371,1962,"Robert Mulligan (dir.), Gregory Peck, John Megna"
110,The Sting,8.229147862379353,1973,"George Roy Hill (dir.), Paul Newman, Robert Redford"
111,Taxi Driver,8.228614506645892,1976,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster"
112,LA Confidential,8.225368950242272,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
113,Up,8.224280662953872,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
114,Hamilton,8.223311355261094,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
115,Heat,8.223033143997434,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
116,Spider-Man: No Way Home,8.222367825047773,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
117,Metropolis,8.221065064917433,1927,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel"
118,Snatch,8.22065576534484,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Jodaeiye Nader az Simin,8.220555975641082,2011,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami"
120,Die Hard,8.220375256596093,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
121,Incendies,8.219263802523116,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
122,Indiana Jones and the Last Crusade,8.218410078491413,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
